DatabaseName,ParentDatasets
14SEA,
AustArch,
Bevan2017,
CARD_Canada,
CARD_Kenya,
CARD_Tanzania,
CARD_US,
Cremaetal2016,
EUROEVOL,"RADON, BANADORA"
FinleyRobinson_UintahBasin,
Flohretal2016,"CALPAL, CONTEXT, Benz n.d. (Platform for Neolithic Radiocarbon Dates. Ex Oriente)"
Gayo_CentralChile,"Gayo_SCAR, Troncoso and Pavovic 2013, Campbell and Quiroz 2015; Falabella et al. 2007; Sanhueza et al. 2003"
Gayo_RapaNui,
Gayo_SCAR,
Goldberg 2016,
GuedesBocinsky2018,
Hoggarth&Ebert2019,
Kay_WestAfrica,
KITEeastafrica,
Lombardo2018_SWAmazonia,
ManningTimpson2014,Vernet and Aumassip (1992).
Mendez2013,
Mendezetal2014,
RADON,
RADON-B,
RirisArroyoKalin2019,
RobinsonBird_USA_Arch,
14CARHU,
Jorgensen_2018NNorway,
Solheim_Norway,
VanderLinden_eurofarm,"Flohretal2016, EUROEVOL"
Wangetal2014,
Vermeersch2019,CALPAL
MedAfriCarbon,CALPAL
SARD,
Palmisano2017_Italy,"Banadera, CALPAL, RADON, EUROEVOL, EX ORIENTE, ORAU, IRPA/KIK"
